# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAD14	AFCEA10_000700	AFCEA10_000700-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AAD4	AFCEA10_010054	AFCEA10_010054-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACC1	AFCEA10_000931	AFCEA10_000931-T1	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	AFCEA10_004897	AFCEA10_004897-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACO2	AFCEA10_007591	AFCEA10_007591-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP2	AFCEA10_007610	AFCEA10_007610-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADE17	AFCEA10_006796	AFCEA10_006796-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADE3	AFCEA10_003394	AFCEA10_003394-T1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AFCEA10_000001	AFCEA10_000001	AFCEA10_000001-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000048	AFCEA10_000048	AFCEA10_000048-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000048	AFCEA10_000048	AFCEA10_000048-T2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AFCEA10_000105	AFCEA10_000105	AFCEA10_000105-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AFCEA10_000106	AFCEA10_000106	AFCEA10_000106-T1	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
AFCEA10_000107	AFCEA10_000107	AFCEA10_000107-T1	protein_coding	0	1	2	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1
AFCEA10_000108	AFCEA10_000108	AFCEA10_000108-T1	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
